"filename", "language", "Python", "Log", "JSON", "comment", "blank", "total"
"/home/danvic/JARVIS/Jarvis/plugins/base.py", "Python", 13, 0, 0, 0, 4, 17
"/home/danvic/JARVIS/Jarvis/plugins/loader.py", "Python", 18, 0, 0, 0, 5, 23
"/home/danvic/JARVIS/Jarvis/plugins/registry.py", "Python", 14, 0, 0, 0, 3, 17
"/home/danvic/JARVIS/Jarvis/plugins_available/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/plugins_available/domain_check.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/filesystem_delete.py", "Python", 57, 0, 0, 6, 16, 79
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/filesystem_edit.py", "Python", 51, 0, 0, 3, 16, 70
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/filesystem_move.py", "Python", 52, 0, 0, 5, 16, 73
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/filesystem_pdf_read.py", "Python", 81, 0, 0, 8, 29, 118
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/filesystem_read.py", "Python", 49, 0, 0, 3, 17, 69
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/filesystem_write.py", "Python", 38, 0, 0, 4, 13, 55
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/utils/pdf_ocr.py", "Python", 20, 0, 0, 7, 7, 34
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/utils/pdf_summary.py", "Python", 31, 0, 0, 8, 9, 48
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/utils/resolver.py", "Python", 66, 0, 0, 4, 23, 93
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/utils/text_summary.py", "Python", 19, 0, 0, 10, 12, 41
"/home/danvic/JARVIS/Jarvis/plugins_available/filesystem/utils/ui.py", "Python", 85, 0, 0, 21, 24, 130
"/home/danvic/JARVIS/Jarvis/plugins_available/web/models.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/plugins_available/web/plugin.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/plugins_available/web_search.py", "Python", 18, 0, 0, 0, 7, 25
"/home/danvic/JARVIS/Jarvis/safe/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/danvic/JARVIS/Jarvis/safe/safe_execution.py", "Python", 21, 0, 0, 0, 3, 24
"/home/danvic/JARVIS/Jarvis/sandbox/__init__.py", "Python", 1, 0, 0, 0, 1, 2
"/home/danvic/JARVIS/Jarvis/sandbox/handler.py", "Python", 26, 0, 0, 0, 12, 38
"Total", "-", 1802, 0, 11, 197, 578, 2588
